instance,base,only loop,only revisit,both
uniform-alpha_3-51-n10-novisit-10-rep_7.txt,237.221,237.221 (0%),227.124 (4.26%),227.124 (4.26%)
uniform-alpha_3-51-n10-novisit-10-rep_8.txt,237.221,237.221 (0%),227.124 (4.26%),227.124 (4.26%)
uniform-alpha_3-51-n10-novisit-20-rep_7.txt,237.814,237.814 (0%),227.124 (4.5%),227.124 (4.5%)
uniform-alpha_3-51-n10-novisit-40-rep_1.txt,247.318,242.967 (1.76%),247.318 (0%),242.967 (1.76%)
uniform-alpha_3-52-n10-novisit-10-rep_10.txt,190.596,187.8 (1.47%),190.188 (0.21%),187.207 (1.78%)
uniform-alpha_3-52-n10-novisit-20-rep_1.txt,191.329,188.802 (1.32%),190.188 (0.6%),187.207 (2.15%)
uniform-alpha_3-52-n10-novisit-20-rep_2.txt,191.329,188.802 (1.32%),191.329 (0%),188.802 (1.32%)
uniform-alpha_3-52-n10-novisit-20-rep_4.txt,191.329,188.802 (1.32%),191.329 (0%),188.802 (1.32%)
uniform-alpha_3-52-n10-novisit-20-rep_5.txt,190.596,187.8 (1.47%),190.188 (0.21%),187.207 (1.78%)
uniform-alpha_3-52-n10-novisit-20-rep_6.txt,190.596,187.8 (1.47%),190.596 (0%),187.8 (1.47%)
uniform-alpha_3-52-n10-novisit-20-rep_9.txt,191.329,191.329 (0%),190.188 (0.6%),190.188 (0.6%)
uniform-alpha_3-52-n10-novisit-30-rep_8.txt,193.483,190.688 (1.44%),193.483 (0%),190.688 (1.44%)
uniform-alpha_3-52-n10-novisit-40-rep_9.txt,200.553,200.193 (0.18%),200.553 (0%),200.193 (0.18%)
uniform-alpha_3-54-n10-novisit-10-rep_5.txt,195.064,195.064 (0%),191.273 (1.94%),191.273 (1.94%)
uniform-alpha_3-54-n10-novisit-10-rep_6.txt,194.59,194.59 (0%),191.273 (1.7%),191.273 (1.7%)
uniform-alpha_3-54-n10-novisit-10-rep_7.txt,194.59,194.59 (0%),191.273 (1.7%),191.273 (1.7%)
uniform-alpha_3-54-n10-novisit-20-rep_1.txt,194.59,194.59 (0%),191.273 (1.7%),191.273 (1.7%)
uniform-alpha_3-54-n10-novisit-20-rep_7.txt,195.064,195.064 (0%),191.273 (1.94%),191.273 (1.94%)
uniform-alpha_3-54-n10-novisit-30-rep_8.txt,229.201,225.729 (1.51%),229.201 (0%),225.729 (1.51%)
uniform-alpha_3-54-n10-novisit-50-rep_3.txt,274.786,274.763 (0.01%),274.763 (0.01%),274.763 (0.01%)
uniform-alpha_3-55-n10-novisit-10-rep_5.txt,241.655,232.846 (3.65%),241.655 (0%),232.846 (3.65%)
uniform-alpha_3-55-n10-novisit-10-rep_6.txt,239.2,232.846 (2.66%),239.2 (0%),232.846 (2.66%)
uniform-alpha_3-55-n10-novisit-10-rep_7.txt,241.655,232.846 (3.65%),241.655 (0%),232.846 (3.65%)
uniform-alpha_3-55-n10-novisit-10-rep_8.txt,243.612,232.846 (4.42%),241.842 (0.73%),232.846 (4.42%)
uniform-alpha_3-55-n10-novisit-20-rep_2.txt,247.244,232.846 (5.82%),241.842 (2.18%),232.846 (5.82%)
uniform-alpha_3-55-n10-novisit-20-rep_7.txt,261.662,261.662 (0%),259.509 (0.82%),259.509 (0.82%)
uniform-alpha_3-55-n10-novisit-30-rep_9.txt,259.854,259.854 (0%),253.419 (2.48%),253.419 (2.48%)
uniform-alpha_3-56-n10-novisit-10-rep_1.txt,207.766,207.766 (0%),199.774 (3.85%),199.774 (3.85%)
uniform-alpha_3-56-n10-novisit-10-rep_5.txt,190.326,190.019 (0.16%),188.364 (1.03%),187.502 (1.48%)
uniform-alpha_3-56-n10-novisit-10-rep_7.txt,190.326,190.019 (0.16%),188.364 (1.03%),187.502 (1.48%)
uniform-alpha_3-56-n10-novisit-10-rep_8.txt,190.326,190.019 (0.16%),188.364 (1.03%),187.502 (1.48%)
uniform-alpha_3-56-n10-novisit-10-rep_9.txt,190.326,190.019 (0.16%),188.364 (1.03%),188.364 (1.03%)
uniform-alpha_3-56-n10-novisit-20-rep_6.txt,208.125,208.125 (0%),199.774 (4.01%),199.774 (4.01%)
uniform-alpha_3-56-n10-novisit-20-rep_7.txt,216.908,216.908 (0%),215.859 (0.48%),215.859 (0.48%)
