instance,base,only loop,only revisit,both
uniform-alpha_3-60-n10-maxradius-200.txt,216.73,203.254 (6.22%),207.139 (4.43%),203.254 (6.22%)
uniform-alpha_3-60-n10-maxradius-20.txt,280.236,277.617 (0.93%),280.236 (0%),277.617 (0.93%)
uniform-alpha_3-60-n10-maxradius-40.txt,280.236,277.617 (0.93%),280.236 (0%),277.617 (0.93%)
uniform-alpha_3-60-n10-maxradius-60.txt,266.528,263.909 (0.98%),266.528 (0%),263.909 (0.98%)
uniform-51-n10-novisit-10-rep_6.txt,263.89,263.914 (0%),256.126 (2.94%),256.126 (2.94%)
uniform-51-n10-novisit-10-rep_8.txt,263.89,263.914 (0%),256.126 (2.94%),256.126 (2.94%)
uniform-51-n10-novisit-20-rep_4.txt,262.102,262.102 (0%),256.126 (2.28%),256.126 (2.28%)
uniform-51-n10-novisit-20-rep_5.txt,263.89,263.89 (0%),256.126 (2.94%),256.126 (2.94%)
uniform-51-n10-novisit-50-rep_6.txt,263.89,263.89 (0%),256.126 (2.94%),256.126 (2.94%)
uniform-52-n10-novisit-10-rep_10.txt,191.329,189.547 (0.93%),191.329 (0%),189.547 (0.93%)
uniform-52-n10-novisit-10-rep_1.txt,191.329,189.547 (0.93%),191.329 (0%),189.547 (0.93%)
uniform-52-n10-novisit-10-rep_3.txt,191.329,189.547 (0.93%),191.329 (0%),189.547 (0.93%)
uniform-52-n10-novisit-10-rep_5.txt,191.329,189.547 (0.93%),191.329 (0%),189.547 (0.93%)
uniform-52-n10-novisit-10-rep_6.txt,191.329,189.547 (0.93%),191.329 (0%),189.547 (0.93%)
uniform-52-n10-novisit-20-rep_3.txt,191.329,189.547 (0.93%),191.329 (0%),189.547 (0.93%)
uniform-52-n10-novisit-20-rep_8.txt,191.329,189.547 (0.93%),191.329 (0%),189.547 (0.93%)
uniform-52-n10-novisit-30-rep_7.txt,200.245,198.468 (0.89%),200.245 (0%),198.468 (0.89%)
uniform-52-n10-novisit-40-rep_10.txt,204.571,202.789 (0.87%),204.571 (0%),202.789 (0.87%)
uniform-52-n10-novisit-40-rep_1.txt,216.079,214.297 (0.82%),216.079 (0%),214.297 (0.82%)
uniform-52-n10-novisit-40-rep_2.txt,200.245,198.468 (0.89%),200.245 (0%),198.468 (0.89%)
uniform-52-n10-novisit-40-rep_4.txt,210.322,208.541 (0.85%),210.322 (0%),208.541 (0.85%)
uniform-52-n10-novisit-50-rep_4.txt,211.624,209.843 (0.84%),211.624 (0%),209.843 (0.84%)
uniform-54-n10-novisit-10-rep_9.txt,250.624,249.597 (0.41%),244.776 (2.33%),244.776 (2.33%)
uniform-54-n10-novisit-20-rep_10.txt,250.624,249.597 (0.41%),244.776 (2.33%),244.776 (2.33%)
uniform-54-n10-novisit-20-rep_2.txt,250.624,249.597 (0.41%),244.776 (2.33%),244.776 (2.33%)
